# frequency  SPL  phase
1.000e+01 4.548e+01 -7.043e+01
1.098e+01 4.713e+01 -7.755e+01
1.205e+01 4.878e+01 -8.539e+01
1.323e+01 5.044e+01 -9.412e+01
1.453e+01 5.210e+01 -1.039e+02
1.595e+01 5.376e+01 -1.147e+02
1.751e+01 5.542e+01 -1.267e+02
1.922e+01 5.707e+01 -1.402e+02
2.110e+01 5.871e+01 -1.555e+02
2.317e+01 6.031e+01 -1.728e+02
2.543e+01 6.184e+01 1.675e+02
2.792e+01 6.323e+01 1.448e+02
3.065e+01 6.432e+01 1.188e+02
3.365e+01 6.491e+01 8.966e+01
3.695e+01 6.482e+01 5.864e+01
4.056e+01 6.404e+01 2.781e+01
4.453e+01 6.274e+01 -1.589e+00
4.889e+01 6.114e+01 -2.924e+01
5.367e+01 5.940e+01 -5.550e+01
5.892e+01 5.762e+01 -8.103e+01
6.469e+01 5.583e+01 -1.064e+02
7.102e+01 5.405e+01 -1.320e+02
7.796e+01 5.229e+01 -1.583e+02
8.559e+01 5.054e+01 1.743e+02
9.397e+01 4.882e+01 1.455e+02
1.032e+02 4.711e+01 1.150e+02
1.132e+02 4.542e+01 8.249e+01
1.243e+02 4.374e+01 4.760e+01
1.365e+02 4.207e+01 1.008e+01
1.499e+02 4.041e+01 -3.050e+01
1.645e+02 3.876e+01 -7.444e+01
1.806e+02 3.710e+01 -1.222e+02
1.983e+02 3.545e+01 -1.741e+02
2.177e+02 3.380e+01 1.294e+02
2.390e+02 3.215e+01 6.772e+01
2.624e+02 3.050e+01 4.816e-01
2.880e+02 2.889e+01 -7.299e+01
3.162e+02 2.732e+01 -1.535e+02
3.472e+02 2.581e+01 1.180e+02
3.811e+02 2.432e+01 2.032e+01
4.184e+02 2.275e+01 -8.776e+01
4.594e+02 2.098e+01 1.532e+02
5.043e+02 1.895e+01 2.309e+01
5.537e+02 1.672e+01 -1.186e+02
6.078e+02 1.431e+01 8.727e+01
6.673e+02 1.183e+01 -8.023e+01
7.326e+02 9.351e+00 9.677e+01
8.043e+02 6.808e+00 -1.038e+02
8.830e+02 4.128e+00 3.601e+01
9.694e+02 9.103e-01 1.540e+02
1.064e+03 -3.443e+00 -1.059e+02
1.168e+03 -7.139e+00 -1.086e+01
1.283e+03 -6.625e+00 4.781e+01
1.408e+03 -7.536e+00 5.756e+01
1.546e+03 -9.218e+00 4.177e+01
1.697e+03 -9.367e+00 -1.753e+01
1.863e+03 -1.066e+01 -1.293e+02
2.046e+03 -1.411e+01 8.567e+01
2.246e+03 -1.638e+01 -1.244e+02
2.465e+03 -1.966e+01 -8.018e+00
2.707e+03 -2.586e+01 1.386e+01
2.971e+03 -3.216e+01 3.191e+01
3.262e+03 -2.956e+01 -3.181e+01
3.581e+03 -2.773e+01 1.382e+02
3.932e+03 -2.856e+01 7.453e+00
4.317e+03 -4.573e+01 9.945e+01
4.739e+03 -5.251e+01 -1.180e+02
5.203e+03 -3.446e+01 -1.235e+02
5.712e+03 -4.461e+01 1.565e+02
6.270e+03 -5.077e+01 9.935e+01
6.884e+03 -4.887e+01 -1.642e+02
7.558e+03 -5.797e+01 -1.522e+02
8.297e+03 -4.656e+01 1.638e+02
9.109e+03 -4.858e+01 1.761e+01
1.000e+04 -5.094e+01 5.030e+01
