# frequency  SPL  phase
1.000e+01 4.626e+01 -6.801e+01
1.098e+01 4.792e+01 -7.489e+01
1.205e+01 4.956e+01 -8.247e+01
1.323e+01 5.122e+01 -9.092e+01
1.453e+01 5.288e+01 -1.003e+02
1.595e+01 5.454e+01 -1.108e+02
1.751e+01 5.620e+01 -1.225e+02
1.922e+01 5.784e+01 -1.356e+02
2.110e+01 5.948e+01 -1.503e+02
2.317e+01 6.108e+01 -1.672e+02
2.543e+01 6.260e+01 1.737e+02
2.792e+01 6.398e+01 1.516e+02
3.065e+01 6.507e+01 1.262e+02
3.365e+01 6.566e+01 9.784e+01
3.695e+01 6.556e+01 6.762e+01
4.056e+01 6.476e+01 3.768e+01
4.453e+01 6.345e+01 9.256e+00
4.889e+01 6.183e+01 -1.732e+01
5.367e+01 6.008e+01 -4.239e+01
5.892e+01 5.828e+01 -6.661e+01
6.469e+01 5.646e+01 -9.053e+01
7.102e+01 5.464e+01 -1.146e+02
7.796e+01 5.285e+01 -1.391e+02
8.559e+01 5.106e+01 -1.645e+02
9.397e+01 4.928e+01 1.688e+02
1.032e+02 4.751e+01 1.408e+02
1.132e+02 4.575e+01 1.110e+02
1.243e+02 4.399e+01 7.908e+01
1.365e+02 4.222e+01 4.492e+01
1.499e+02 4.045e+01 8.124e+00
1.645e+02 3.866e+01 -3.158e+01
1.806e+02 3.687e+01 -7.453e+01
1.983e+02 3.506e+01 -1.210e+02
2.177e+02 3.323e+01 -1.714e+02
2.390e+02 3.140e+01 1.339e+02
2.624e+02 2.957e+01 7.452e+01
2.880e+02 2.778e+01 9.993e+00
3.162e+02 2.607e+01 -6.043e+01
3.472e+02 2.443e+01 -1.377e+02
3.811e+02 2.282e+01 1.373e+02
4.184e+02 2.117e+01 4.405e+01
4.594e+02 1.951e+01 -5.744e+01
5.043e+02 1.802e+01 -1.678e+02
5.537e+02 1.689e+01 7.109e+01
6.078e+02 1.623e+01 -6.428e+01
6.673e+02 1.563e+01 1.422e+02
7.326e+02 1.455e+01 -2.981e+01
8.043e+02 1.273e+01 1.407e+02
8.830e+02 1.008e+01 -6.470e+01
9.694e+02 7.023e+00 7.593e+01
1.064e+03 4.327e+00 -1.608e+02
1.168e+03 1.750e+00 -6.267e+01
1.283e+03 -1.757e+00 1.336e+01
1.408e+03 -4.245e+00 7.257e+01
1.546e+03 -5.264e+00 9.320e+01
1.697e+03 -6.680e+00 7.534e+01
1.863e+03 -9.043e+00 1.509e+01
2.046e+03 -1.228e+01 -7.557e+01
2.246e+03 -1.350e+01 1.457e+02
2.465e+03 -2.461e+01 -5.241e+00
2.707e+03 -1.766e+01 1.561e+02
2.971e+03 -2.008e+01 1.474e+02
3.262e+03 -1.464e+01 8.111e+01
3.581e+03 -2.432e+01 5.654e+01
3.932e+03 -3.048e+01 -6.546e+01
4.317e+03 -2.324e+01 -7.287e+01
4.739e+03 -3.028e+01 1.496e+02
5.203e+03 -3.924e+01 7.665e+01
5.712e+03 -4.135e+01 1.349e+02
6.270e+03 -4.444e+01 1.059e+02
6.884e+03 -4.417e+01 1.014e+02
7.558e+03 -4.704e+01 -1.740e+02
8.297e+03 -4.788e+01 -1.188e+02
9.109e+03 -5.924e+01 8.208e+01
1.000e+04 -5.325e+01 4.364e+01
