# frequency  SPL  phase
1.000e+01 4.685e+01 -6.634e+01
1.098e+01 4.850e+01 -7.305e+01
1.205e+01 5.015e+01 -8.046e+01
1.323e+01 5.181e+01 -8.870e+01
1.453e+01 5.347e+01 -9.791e+01
1.595e+01 5.513e+01 -1.081e+02
1.751e+01 5.678e+01 -1.195e+02
1.922e+01 5.843e+01 -1.323e+02
2.110e+01 6.006e+01 -1.468e+02
2.317e+01 6.166e+01 -1.633e+02
2.543e+01 6.318e+01 1.779e+02
2.792e+01 6.456e+01 1.563e+02
3.065e+01 6.565e+01 1.314e+02
3.365e+01 6.623e+01 1.035e+02
3.695e+01 6.613e+01 7.385e+01
4.056e+01 6.533e+01 4.453e+01
4.453e+01 6.401e+01 1.679e+01
4.889e+01 6.239e+01 -9.029e+00
5.367e+01 6.064e+01 -3.327e+01
5.892e+01 5.883e+01 -5.657e+01
6.469e+01 5.700e+01 -7.946e+01
7.102e+01 5.518e+01 -1.024e+02
7.796e+01 5.338e+01 -1.256e+02
8.559e+01 5.158e+01 -1.497e+02
9.397e+01 4.980e+01 -1.747e+02
1.032e+02 4.802e+01 1.589e+02
1.132e+02 4.626e+01 1.311e+02
1.243e+02 4.450e+01 1.014e+02
1.365e+02 4.275e+01 6.970e+01
1.499e+02 4.101e+01 3.564e+01
1.645e+02 3.928e+01 -1.012e+00
1.806e+02 3.756e+01 -4.060e+01
1.983e+02 3.588e+01 -8.344e+01
2.177e+02 3.423e+01 -1.299e+02
2.390e+02 3.265e+01 1.795e+02
2.624e+02 3.114e+01 1.242e+02
2.880e+02 2.973e+01 6.370e+01
3.162e+02 2.843e+01 -3.074e+00
3.472e+02 2.722e+01 -7.702e+01
3.811e+02 2.602e+01 -1.590e+02
4.184e+02 2.476e+01 1.104e+02
4.594e+02 2.342e+01 1.082e+01
5.043e+02 2.204e+01 -9.839e+01
5.537e+02 2.069e+01 1.417e+02
6.078e+02 1.938e+01 8.597e+00
6.673e+02 1.776e+01 -1.399e+02
7.326e+02 1.537e+01 5.674e+01
8.043e+02 1.201e+01 -1.185e+02
8.830e+02 8.242e+00 6.010e+01
9.694e+02 6.149e+00 -1.326e+02
1.064e+03 4.998e+00 6.801e+00
1.168e+03 3.189e+00 1.211e+02
1.283e+03 1.379e+00 -1.467e+02
1.408e+03 -5.490e-01 -8.278e+01
1.546e+03 -2.585e+00 -4.471e+01
1.697e+03 -4.343e+00 -4.061e+01
1.863e+03 -6.413e+00 -6.835e+01
2.046e+03 -7.548e+00 -1.432e+02
2.246e+03 -1.440e+01 1.129e+02
2.465e+03 -1.159e+01 -5.061e+01
2.707e+03 -1.524e+01 1.128e+02
2.971e+03 -2.849e+01 -5.575e+01
3.262e+03 -1.948e+01 -1.160e+02
3.581e+03 -2.708e+01 1.147e+02
3.932e+03 -2.098e+01 1.325e+02
4.317e+03 -2.417e+01 -2.643e+01
4.739e+03 -3.238e+01 3.443e+01
5.203e+03 -3.258e+01 5.532e+01
5.712e+03 -5.471e+01 1.021e+02
6.270e+03 -4.566e+01 -1.013e+02
6.884e+03 -4.296e+01 -1.336e+02
7.558e+03 -4.793e+01 1.315e+02
8.297e+03 -3.904e+01 -1.238e+02
9.109e+03 -5.477e+01 -1.597e+02
1.000e+04 -5.431e+01 1.703e+02
