# frequency  SPL  phase
1.000e+01 4.174e+01 1.151e+02
1.098e+01 4.323e+01 1.085e+02
1.205e+01 4.467e+01 1.013e+02
1.323e+01 4.607e+01 9.323e+01
1.453e+01 4.741e+01 8.422e+01
1.595e+01 4.867e+01 7.423e+01
1.751e+01 4.982e+01 6.305e+01
1.922e+01 5.081e+01 5.052e+01
2.110e+01 5.158e+01 3.635e+01
2.317e+01 5.201e+01 2.022e+01
2.543e+01 5.188e+01 1.861e+00
2.792e+01 5.072e+01 -1.930e+01
3.065e+01 4.724e+01 -4.330e+01
3.365e+01 3.219e+01 -6.466e+01
3.695e+01 4.629e+01 7.742e+01
4.056e+01 5.322e+01 4.944e+01
4.453e+01 5.658e+01 2.248e+01
4.889e+01 5.850e+01 -2.629e+00
5.367e+01 5.969e+01 -2.616e+01
5.892e+01 6.047e+01 -4.872e+01
6.469e+01 6.102e+01 -7.083e+01
7.102e+01 6.140e+01 -9.290e+01
7.796e+01 6.168e+01 -1.153e+02
8.559e+01 6.189e+01 -1.384e+02
9.397e+01 6.205e+01 -1.625e+02
1.032e+02 6.217e+01 1.722e+02
1.132e+02 6.226e+01 1.454e+02
1.243e+02 6.233e+01 1.168e+02
1.365e+02 6.238e+01 8.616e+01
1.499e+02 6.242e+01 5.313e+01
1.645e+02 6.245e+01 1.745e+01
1.806e+02 6.246e+01 -2.124e+01
1.983e+02 6.246e+01 -6.327e+01
2.177e+02 6.244e+01 -1.090e+02
2.390e+02 6.240e+01 -1.590e+02
2.624e+02 6.234e+01 1.465e+02
2.880e+02 6.223e+01 8.681e+01
3.162e+02 6.205e+01 2.157e+01
3.472e+02 6.179e+01 -4.961e+01
3.811e+02 6.145e+01 -1.271e+02
4.184e+02 6.106e+01 1.488e+02
4.594e+02 6.073e+01 5.709e+01
5.043e+02 6.051e+01 -4.413e+01
5.537e+02 6.014e+01 -1.570e+02
6.078e+02 5.920e+01 7.898e+01
6.673e+02 5.775e+01 -5.321e+01
7.326e+02 5.648e+01 1.671e+02
8.043e+02 5.605e+01 1.315e+01
8.830e+02 5.521e+01 -1.623e+02
9.694e+02 5.306e+01 1.214e+01
1.064e+03 5.256e+01 1.769e+02
1.168e+03 5.251e+01 -4.944e+01
1.283e+03 5.142e+01 6.637e+01
1.408e+03 5.179e+01 1.571e+02
1.546e+03 5.119e+01 -1.452e+02
1.697e+03 5.095e+01 -1.166e+02
1.863e+03 4.960e+01 -1.256e+02
2.046e+03 4.727e+01 -1.692e+02
2.246e+03 4.329e+01 1.092e+02
2.465e+03 3.812e+01 -5.419e+00
2.707e+03 2.965e+01 -1.348e+02
2.971e+03 2.729e+01 8.336e+01
3.262e+03 3.257e+01 -1.467e+02
3.581e+03 3.621e+01 -1.124e+02
3.932e+03 3.679e+01 -1.505e+02
4.317e+03 3.460e+01 8.384e+01
4.739e+03 2.084e+01 -9.662e+01
5.203e+03 2.418e+01 9.451e+00
5.712e+03 2.699e+01 4.843e+01
6.270e+03 2.625e+01 -8.637e+01
6.884e+03 1.665e+01 3.954e+01
7.558e+03 -7.891e+00 -8.371e+01
8.297e+03 1.543e+01 6.998e+01
9.109e+03 1.605e+01 1.058e+02
1.000e+04 8.923e+00 -4.405e+01
