# frequency  SPL  phase
1.000e+01 4.199e+01 1.157e+02
1.098e+01 4.347e+01 1.092e+02
1.205e+01 4.491e+01 1.021e+02
1.323e+01 4.631e+01 9.405e+01
1.453e+01 4.765e+01 8.513e+01
1.595e+01 4.891e+01 7.522e+01
1.751e+01 5.005e+01 6.414e+01
1.922e+01 5.104e+01 5.172e+01
2.110e+01 5.181e+01 3.768e+01
2.317e+01 5.224e+01 2.167e+01
2.543e+01 5.210e+01 3.459e+00
2.792e+01 5.094e+01 -1.754e+01
3.065e+01 4.745e+01 -4.137e+01
3.365e+01 3.239e+01 -6.254e+01
3.695e+01 4.648e+01 7.976e+01
4.056e+01 5.341e+01 5.202e+01
4.453e+01 5.675e+01 2.533e+01
4.889e+01 5.866e+01 5.136e-01
5.367e+01 5.983e+01 -2.269e+01
5.892e+01 6.060e+01 -4.488e+01
6.469e+01 6.111e+01 -6.657e+01
7.102e+01 6.147e+01 -8.817e+01
7.796e+01 6.171e+01 -1.100e+02
8.559e+01 6.188e+01 -1.325e+02
9.397e+01 6.199e+01 -1.559e+02
1.032e+02 6.205e+01 1.797e+02
1.132e+02 6.207e+01 1.538e+02
1.243e+02 6.206e+01 1.264e+02
1.365e+02 6.203e+01 9.709e+01
1.499e+02 6.197e+01 6.571e+01
1.645e+02 6.190e+01 3.202e+01
1.806e+02 6.182e+01 -4.266e+00
1.983e+02 6.174e+01 -4.343e+01
2.177e+02 6.169e+01 -8.583e+01
2.390e+02 6.168e+01 -1.319e+02
2.624e+02 6.173e+01 1.778e+02
2.880e+02 6.183e+01 1.229e+02
3.162e+02 6.200e+01 6.253e+01
3.472e+02 6.225e+01 -3.775e+00
3.811e+02 6.259e+01 -7.702e+01
4.184e+02 6.298e+01 -1.582e+02
4.594e+02 6.333e+01 1.122e+02
5.043e+02 6.372e+01 1.356e+01
5.537e+02 6.423e+01 -9.602e+01
6.078e+02 6.460e+01 1.406e+02
6.673e+02 6.436e+01 3.423e+00
7.326e+02 6.331e+01 -1.463e+02
8.043e+02 6.131e+01 5.368e+01
8.830e+02 5.889e+01 -1.115e+02
9.694e+02 5.780e+01 7.240e+01
1.064e+03 5.709e+01 -1.261e+02
1.168e+03 5.632e+01 1.772e+01
1.283e+03 5.628e+01 1.377e+02
1.408e+03 5.577e+01 -1.311e+02
1.546e+03 5.485e+01 -6.642e+01
1.697e+03 5.288e+01 -3.017e+01
1.863e+03 5.134e+01 -1.976e+01
2.046e+03 4.835e+01 -4.618e+01
2.246e+03 4.734e+01 -1.068e+02
2.465e+03 4.195e+01 1.412e+02
2.707e+03 3.318e+01 1.280e+01
2.971e+03 3.113e+01 -1.058e+02
3.262e+03 3.638e+01 3.627e+01
3.581e+03 4.023e+01 8.738e+01
3.932e+03 3.845e+01 4.623e+01
4.317e+03 3.650e+01 -2.841e+01
4.739e+03 3.073e+01 1.640e+02
5.203e+03 2.448e+01 -6.389e+01
5.712e+03 2.750e+01 3.641e+01
6.270e+03 3.020e+01 -3.283e+01
6.884e+03 2.449e+01 6.623e+01
7.558e+03 1.833e+01 1.557e+02
8.297e+03 2.521e+01 1.185e+02
9.109e+03 2.271e+01 -1.326e+02
1.000e+04 5.132e+00 1.444e+02
