# frequency  SPL  phase
1.000e+01 2.472e+01 -1.775e+01
1.151e+01 3.456e+01 -6.074e+01
1.326e+01 4.240e+01 -8.233e+01
1.526e+01 4.901e+01 -1.004e+02
1.758e+01 5.511e+01 -1.192e+02
2.024e+01 6.092e+01 -1.405e+02
2.330e+01 6.661e+01 -1.668e+02
2.683e+01 7.194e+01 1.579e+02
3.089e+01 7.573e+01 1.122e+02
3.556e+01 7.705e+01 6.633e+01
4.095e+01 7.710e+01 2.862e+01
4.715e+01 7.699e+01 -3.209e+00
5.429e+01 7.697e+01 -3.281e+01
6.251e+01 7.703e+01 -6.227e+01
7.197e+01 7.714e+01 -9.281e+01
8.286e+01 7.726e+01 -1.253e+02
9.541e+01 7.737e+01 -1.604e+02
1.098e+02 7.745e+01 1.612e+02
1.265e+02 7.751e+01 1.189e+02
1.456e+02 7.754e+01 7.176e+01
1.677e+02 7.756e+01 1.901e+01
1.931e+02 7.758e+01 -4.035e+01
2.223e+02 7.762e+01 -1.075e+02
2.559e+02 7.770e+01 1.763e+02
2.947e+02 7.787e+01 8.938e+01
3.393e+02 7.820e+01 -1.003e+01
3.907e+02 7.881e+01 -1.251e+02
4.498e+02 7.957e+01 1.002e+02
5.180e+02 8.017e+01 -5.761e+01
5.964e+02 8.029e+01 1.197e+02
6.866e+02 7.991e+01 -9.008e+01
7.906e+02 7.849e+01 2.924e+01
9.103e+02 7.620e+01 1.272e+02
1.048e+03 7.624e+01 -1.755e+02
1.207e+03 7.559e+01 -1.688e+02
1.390e+03 7.472e+01 1.390e+02
1.600e+03 7.260e+01 2.865e+01
1.842e+03 7.130e+01 -1.511e+02
2.121e+03 6.830e+01 -6.914e+01
2.442e+03 6.238e+01 -7.508e+01
2.812e+03 5.892e+01 1.730e+02
3.237e+03 5.728e+01 -7.802e+01
3.728e+03 5.671e+01 -1.108e+02
4.292e+03 5.468e+01 7.455e+01
4.942e+03 4.941e+01 8.551e+01
5.690e+03 3.823e+01 -9.422e+01
6.551e+03 3.394e+01 -9.756e+01
7.543e+03 3.733e+01 -7.246e+01
8.685e+03 2.999e+01 1.018e+02
1.000e+04 2.642e+01 1.272e+02
