# frequency  SPL  phase
1.000e+01 4.546e+01 1.262e+02
1.151e+01 4.647e+01 1.222e+02
1.326e+01 4.692e+01 1.218e+02
1.526e+01 4.696e+01 1.322e+02
1.758e+01 4.940e+01 1.603e+02
2.024e+01 5.620e+01 1.759e+02
2.330e+01 6.355e+01 1.676e+02
2.683e+01 7.007e+01 1.423e+02
3.089e+01 7.467e+01 1.033e+02
3.556e+01 7.654e+01 6.252e+01
4.095e+01 7.699e+01 2.915e+01
4.715e+01 7.717e+01 1.291e+00
5.429e+01 7.736e+01 -2.444e+01
6.251e+01 7.761e+01 -4.997e+01
7.197e+01 7.788e+01 -7.637e+01
8.286e+01 7.816e+01 -1.044e+02
9.541e+01 7.846e+01 -1.347e+02
1.098e+02 7.878e+01 -1.679e+02
1.265e+02 7.914e+01 1.552e+02
1.456e+02 7.956e+01 1.138e+02
1.677e+02 8.004e+01 6.657e+01
1.931e+02 8.055e+01 1.246e+01
2.223e+02 8.103e+01 -4.973e+01
2.559e+02 8.143e+01 -1.210e+02
2.947e+02 8.173e+01 1.576e+02
3.393e+02 8.198e+01 6.468e+01
3.907e+02 8.216e+01 -4.190e+01
4.498e+02 8.217e+01 -1.637e+02
5.180e+02 8.212e+01 5.818e+01
5.964e+02 8.247e+01 -9.985e+01
6.866e+02 8.292e+01 7.372e+01
7.906e+02 8.246e+01 -1.414e+02
9.103e+02 8.169e+01 -2.338e+01
1.048e+03 8.125e+01 5.869e+01
1.207e+03 8.052e+01 9.855e+01
1.390e+03 7.951e+01 9.133e+01
1.600e+03 7.852e+01 2.951e+01
1.842e+03 7.752e+01 -9.770e+01
2.121e+03 7.554e+01 5.732e+01
2.442e+03 7.198e+01 1.268e+02
2.812e+03 6.574e+01 9.774e+01
3.237e+03 4.924e+01 -9.315e+01
3.728e+03 6.174e+01 -1.093e+02
4.292e+03 6.419e+01 -1.746e+02
4.942e+03 6.157e+01 -4.489e+01
5.690e+03 4.940e+01 -1.216e+02
6.551e+03 5.308e+01 1.430e+02
7.543e+03 5.359e+01 -5.674e+01
8.685e+03 3.496e+01 3.155e+01
1.000e+04 4.698e+01 -1.329e+02
