# frequency  SPL  phase
1.000e+01 -9.608e+00 1.594e+02
1.098e+01 -7.984e+00 1.574e+02
1.205e+01 -6.369e+00 1.552e+02
1.323e+01 -4.746e+00 1.527e+02
1.453e+01 -3.118e+00 1.501e+02
1.595e+01 -1.498e+00 1.471e+02
1.751e+01 1.224e-01 1.439e+02
1.922e+01 1.741e+00 1.404e+02
2.110e+01 3.362e+00 1.365e+02
2.317e+01 4.987e+00 1.323e+02
2.543e+01 6.604e+00 1.276e+02
2.792e+01 8.227e+00 1.225e+02
3.065e+01 9.849e+00 1.169e+02
3.365e+01 1.147e+01 1.108e+02
3.695e+01 1.310e+01 1.040e+02
4.056e+01 1.472e+01 9.667e+01
4.453e+01 1.635e+01 8.858e+01
4.889e+01 1.798e+01 7.970e+01
5.367e+01 1.962e+01 6.998e+01
5.892e+01 2.126e+01 5.932e+01
6.469e+01 2.291e+01 4.762e+01
7.102e+01 2.457e+01 3.480e+01
7.796e+01 2.625e+01 2.076e+01
8.559e+01 2.795e+01 5.302e+00
9.397e+01 2.967e+01 -1.171e+01
1.032e+02 3.143e+01 -3.043e+01
1.132e+02 3.323e+01 -5.111e+01
1.243e+02 3.506e+01 -7.404e+01
1.365e+02 3.694e+01 -9.944e+01
1.499e+02 3.885e+01 -1.277e+02
1.645e+02 4.078e+01 -1.591e+02
1.806e+02 4.272e+01 1.660e+02
1.983e+02 4.464e+01 1.273e+02
2.177e+02 4.651e+01 8.459e+01
2.390e+02 4.833e+01 3.768e+01
2.624e+02 5.009e+01 -1.354e+01
2.880e+02 5.183e+01 -6.927e+01
3.162e+02 5.363e+01 -1.300e+02
3.472e+02 5.555e+01 1.636e+02
3.811e+02 5.761e+01 9.000e+01
4.184e+02 5.977e+01 8.073e+00
4.594e+02 6.190e+01 -8.318e+01
5.043e+02 6.391e+01 1.758e+02
5.537e+02 6.579e+01 6.440e+01
6.078e+02 6.749e+01 -5.825e+01
6.673e+02 6.893e+01 1.673e+02
7.326e+02 7.015e+01 2.059e+01
8.043e+02 7.116e+01 -1.394e+02
8.830e+02 7.195e+01 4.590e+01
9.694e+02 7.254e+01 -1.436e+02
1.064e+03 7.312e+01 9.206e+00
1.168e+03 7.339e+01 1.431e+02
1.283e+03 7.371e+01 -1.015e+02
1.408e+03 7.435e+01 -1.042e+01
1.546e+03 7.477e+01 5.354e+01
1.697e+03 7.501e+01 9.020e+01
1.863e+03 7.541e+01 9.659e+01
2.046e+03 7.565e+01 6.760e+01
2.246e+03 7.586e+01 1.972e+00
2.465e+03 7.590e+01 -1.059e+02
2.707e+03 7.575e+01 1.023e+02
2.971e+03 7.588e+01 -9.817e+01
3.262e+03 7.546e+01 7.353e+00
3.581e+03 7.497e+01 5.434e+01
3.932e+03 7.452e+01 3.777e+01
4.317e+03 7.452e+01 -5.591e+01
4.739e+03 7.404e+01 1.332e+02
5.203e+03 7.409e+01 -1.216e+02
5.712e+03 7.346e+01 -1.091e+02
6.270e+03 7.257e+01 1.564e+02
6.884e+03 7.235e+01 -5.589e+01
7.558e+03 7.217e+01 -2.989e+01
8.297e+03 7.132e+01 -1.405e+02
9.109e+03 7.057e+01 -4.825e+01
1.000e+04 6.995e+01 -1.243e+02
