# frequency  SPL  phase
1.000e+01 -9.811e+00 1.589e+02
1.098e+01 -8.188e+00 1.569e+02
1.205e+01 -6.573e+00 1.546e+02
1.323e+01 -4.951e+00 1.521e+02
1.453e+01 -3.324e+00 1.494e+02
1.595e+01 -1.706e+00 1.464e+02
1.751e+01 -8.628e-02 1.431e+02
1.922e+01 1.531e+00 1.395e+02
2.110e+01 3.149e+00 1.356e+02
2.317e+01 4.773e+00 1.312e+02
2.543e+01 6.386e+00 1.265e+02
2.792e+01 8.006e+00 1.212e+02
3.065e+01 9.623e+00 1.155e+02
3.365e+01 1.124e+01 1.092e+02
3.695e+01 1.286e+01 1.023e+02
4.056e+01 1.448e+01 9.479e+01
4.453e+01 1.609e+01 8.651e+01
4.889e+01 1.771e+01 7.743e+01
5.367e+01 1.933e+01 6.749e+01
5.892e+01 2.095e+01 5.661e+01
6.469e+01 2.258e+01 4.466e+01
7.102e+01 2.421e+01 3.159e+01
7.796e+01 2.585e+01 1.729e+01
8.559e+01 2.750e+01 1.582e+00
9.397e+01 2.918e+01 -1.566e+01
1.032e+02 3.087e+01 -3.457e+01
1.132e+02 3.260e+01 -5.538e+01
1.243e+02 3.437e+01 -7.835e+01
1.365e+02 3.617e+01 -1.037e+02
1.499e+02 3.801e+01 -1.318e+02
1.645e+02 3.990e+01 -1.629e+02
1.806e+02 4.180e+01 1.625e+02
1.983e+02 4.372e+01 1.241e+02
2.177e+02 4.563e+01 8.165e+01
2.390e+02 4.751e+01 3.474e+01
2.624e+02 4.934e+01 -1.683e+01
2.880e+02 5.115e+01 -7.337e+01
3.162e+02 5.295e+01 -1.353e+02
3.472e+02 5.478e+01 1.567e+02
3.811e+02 5.664e+01 8.180e+01
4.184e+02 5.849e+01 -9.287e-01
4.594e+02 6.026e+01 -9.222e+01
5.043e+02 6.189e+01 1.676e+02
5.537e+02 6.344e+01 5.880e+01
6.078e+02 6.519e+01 -6.022e+01
6.673e+02 6.710e+01 1.666e+02
7.326e+02 6.859e+01 1.731e+01
8.043e+02 6.918e+01 -1.455e+02
8.830e+02 6.939e+01 4.179e+01
9.694e+02 6.985e+01 -1.448e+02
1.064e+03 7.053e+01 1.058e+01
1.168e+03 7.101e+01 1.452e+02
1.283e+03 7.134e+01 -9.906e+01
1.408e+03 7.194e+01 -7.536e+00
1.546e+03 7.220e+01 5.806e+01
1.697e+03 7.275e+01 9.801e+01
1.863e+03 7.343e+01 1.025e+02
2.046e+03 7.363e+01 7.388e+01
2.246e+03 7.380e+01 7.432e+00
2.465e+03 7.354e+01 -9.907e+01
2.707e+03 7.341e+01 1.109e+02
2.971e+03 7.325e+01 -8.562e+01
3.262e+03 7.324e+01 2.241e+01
3.581e+03 7.362e+01 6.882e+01
3.932e+03 7.371e+01 5.031e+01
4.317e+03 7.377e+01 -3.937e+01
4.739e+03 7.263e+01 1.488e+02
5.203e+03 7.277e+01 -1.059e+02
5.712e+03 7.248e+01 -1.004e+02
6.270e+03 7.183e+01 1.671e+02
6.884e+03 7.040e+01 -4.873e+01
7.558e+03 6.998e+01 -2.185e+01
8.297e+03 6.829e+01 -1.380e+02
9.109e+03 6.612e+01 -4.491e+01
1.000e+04 6.403e+01 -1.184e+02
